toi,tid,tfopwg_disp,tic
185.01,100100827,KP,100100827
411.01,100990000,CP,100990000
411.02,100990000,CP,100990000
240.01,101948569,PC,101948569
244.01,118327550,CP,118327550
242.01,120585579,FP,120585579
229.01,120610833,KP,120610833
402.01,120896927,CP,120896927
402.02,120896927,CP,120896927
264.01,122612091,KP,122612091
279.01,122613513,PC,122613513
4311.01,122617317,CP,122617317
4311.02,122617317,CP,122617317
198.01,12421862,CP,12421862
234.01,12423815,PC,12423815
259.01,12862099,KP,12862099
4315.01,139148528,PC,139148528
6899.01,139879080,PC,139879080
140.01,140068425,APC,140068425
6900.01,140893722,PC,140893722
698.01,141527579,PC,141527579
1216.01,141527965,PC,141527965
210.01,141608198,PC,141608198
4555.01,141770198,PC,141770198
4413.01,142019343,PC,142019343
105.01,144065872,KP,144065872
4308.01,144193715,CP,144193715
222.01,144440290,FP,144440290
4298.01,146282666,PC,146282666
243.01,149010208,APC,149010208
809.01,149301575,APC,149301575
699.01,149302744,PC,149302744
699.02,149302744,PC,149302744
699.03,149302744,PC,149302744
4356.01,149389419,PC,149389419
2607.01,149539158,FA,149539158
102.01,149603524,KP,149603524
6690.01,149989864,PC,149989864
6690.02,149989864,PC,149989864
286.01,150030205,CP,150030205
286.02,150030205,CP,150030205
220.01,150098860,CP,150098860
712.01,150151262,CP,150151262
712.02,150151262,CP,150151262
712.03,150151262,FA,150151262
712.04,150151262,CP,150151262
735.01,150271680,FP,150271680
700.01,150428135,CP,150428135
700.02,150428135,CP,150428135
700.03,150428135,CP,150428135
700.04,150428135,CP,150428135
406.01,153065527,CP,153065527
406.02,153065527,CP,153065527
7682.01,159671133,PC,159671133
265.01,159951311,KP,159951311
230.01,160074939,FA,160074939
247.01,160148385,KP,160148385
266.01,164767175,CP,164767175
266.02,164767175,CP,164767175
190.01,166739520,KP,166739520
267.01,166836920,KP,166836920
1941.01,167009792,FP,167009792
802.01,167303382,PC,167303382
707.01,167342439,PC,167342439
707.02,167342439,PC,167342439
214.01,167415965,PC,167415965
214.02,167415965,PC,167415965
713.01,167600516,PC,167600516
