tic,reason,source,detail
100100829,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
100029948,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
116417661,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
121420805,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
144000467,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
144462697,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
150187916,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
160081043,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
183529462,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
212377300,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
224283342,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
231061733,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
231833204,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
241393039,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
327996089,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
355651035,eclipsing_binary,Prsa2022_ApJS258_16,TIC match
100107681,variable_star,VSX_AAVSO,NSV 595|
100990409,variable_star,VSX_AAVSO,Gaia DR3 4836130877489906304|ROT
101100320,variable_star,VSX_AAVSO,Gaia DR3 4835532159049421952|ACV|roAm|roAp|SXARI
100029948,variable_star,VSX_AAVSO,WX Phe|EA
101948780,variable_star,VSX_AAVSO,Gaia DR3 4981524140457850112|ROT
101949836,variable_star,VSX_AAVSO,Gaia DR3 4982759720946357248|ROT
101992165,variable_star,VSX_AAVSO,Gaia DR3 4932838835028390784|ROT
10802452,variable_star,VSX_AAVSO,Gaia DR3 2470272812780609280|ROT
114950121,variable_star,VSX_AAVSO,Gaia DR3 6775632727047151232|ROT
11652908,variable_star,VSX_AAVSO,Gaia DR3 5036353628534578176|ROT
116417661,variable_star,VSX_AAVSO,CE Scl|EA
120488121,variable_star,VSX_AAVSO,Gaia DR3 2306883082789767552|ROT
12377884,variable_star,VSX_AAVSO,ASASSN-V J000443.57-294104.8|ROT
121420805,variable_star,VSX_AAVSO,Y Gru|EA/SD
12784674,variable_star,VSX_AAVSO,EPIC 205926273|DSCT
139825582,variable_star,VSX_AAVSO,CF Ind|DSCT
144000467,variable_star,VSX_AAVSO,ASAS J222503-5348.6|EA
144331556,variable_star,VSX_AAVSO,Gaia DR3 6531430713480948480|ROT
144335923,variable_star,VSX_AAVSO,ASASSN-V J234452.46-433539.4|ROT
144387364,variable_star,VSX_AAVSO,BF Phe|DSCTC
144462697,variable_star,VSX_AAVSO,ASAS J222524-4435.7|EA
149989242,variable_star,VSX_AAVSO,Gaia DR3 5482015721684988544|ACV|roAm|roAp|SXARI
150187916,variable_star,VSX_AAVSO,ASAS J061451-6216.9|ROT
150249622,variable_star,VSX_AAVSO,ASASSN-V J061721.42-620603.0|ROT
150250528,variable_star,VSX_AAVSO,Gaia DR3 5476918317061000960|ROT
150322652,variable_star,VSX_AAVSO,Gaia DR3 5481835882814266624|ROT
156083493,variable_star,VSX_AAVSO,Gaia DR3 4975022079665492352|ROT
160081043,variable_star,VSX_AAVSO,1SWASP J232812.74-395523.3|EA/EL
161112458,variable_star,VSX_AAVSO,Gaia DR3 6517181420741286656|ROT
161154963,variable_star,VSX_AAVSO,Gaia DR3 6507554681044698624|ROT
161264425,variable_star,VSX_AAVSO,Gaia DR3 6513596222562822400|ROT
161272468,variable_star,VSX_AAVSO,Gaia DR3 6513375804839802880|ROT
161376559,variable_star,VSX_AAVSO,Gaia DR3 6514914154749884160|ROT
164753256,variable_star,VSX_AAVSO,Gaia DR3 5139538018797613184|ROT
175411371,variable_star,VSX_AAVSO,Gaia DR3 6548854055769295872|ROT
179677415,variable_star,VSX_AAVSO,HIP 4181|VAR
181230103,variable_star,VSX_AAVSO,Gaia DR3 4685658072670644608|DCEP
183529571,variable_star,VSX_AAVSO,Gaia DR3 2313001555761045632|ROT
183591107,variable_star,VSX_AAVSO,Gaia DR3 4987897841861528704|ROT
197804126,variable_star,VSX_AAVSO,Gaia DR3 4729119602646413568|ROT
197904448,variable_star,VSX_AAVSO,Gaia DR3 4732025680598446592|ACV|roAm|roAp|SXARI
197954314,variable_star,VSX_AAVSO,Gaia DR3 6503016034484106368|ROT
197982694,variable_star,VSX_AAVSO,Gaia DR3 6458900569959784448|ROT
200668936,variable_star,VSX_AAVSO,ASASSN-18wh|UV
200786539,variable_star,VSX_AAVSO,Gaia DR3 4736045800050891264|ROT
200807744,variable_star,VSX_AAVSO,Gaia DR3 4833725386566666240|ROT
206402318,variable_star,VSX_AAVSO,2MASS J03385590-5234107|BY
206403004,variable_star,VSX_AAVSO,ASASSN-V J034012.24-520710.0|ROT
206434088,variable_star,VSX_AAVSO,Gaia DR3 4832623744635103616|ROT
212377300,variable_star,VSX_AAVSO,ASAS J014725-1704.0|EB
219217331,variable_star,VSX_AAVSO,Gaia DR3 4830549515949464960|VAR
219235147,variable_star,VSX_AAVSO,Gaia DR3 4782131456268489600|ROT
220409421,variable_star,VSX_AAVSO,Gaia DR3 4777242817116816512|ROT
220430697,variable_star,VSX_AAVSO,ASASSN-V J045221.94-545443.6|ROT
220511824,variable_star,VSX_AAVSO,Gaia DR3 6499850884105083392|ROT
229100316,variable_star,VSX_AAVSO,Gaia DR3 4954569892077568256|ROT
231020078,variable_star,VSX_AAVSO,Gaia DR3 4717919255651196160|ACV|roAm|roAp|SXARI
231046372,variable_star,VSX_AAVSO,Gaia DR3 4719289247139966336|VAR
231708319,variable_star,VSX_AAVSO,ASASSN-V J223917.03-571305.7|ROT
231061733,variable_star,VSX_AAVSO,HD 12950|EA
241393039,variable_star,VSX_AAVSO,ASAS J013733-0208.4|EW
24251461,variable_star,VSX_AAVSO,Gaia DR3 2473095156049590144|DSCT|GDOR|SXPHE
24251953,variable_star,VSX_AAVSO,Gaia DR3 2475924233827845632|ROT
246854655,variable_star,VSX_AAVSO,NSV 15090|BY:
246861224,variable_star,VSX_AAVSO,2MASS J00285473-2733337|BY
248949857,variable_star,VSX_AAVSO,EO Cet|V361HYA
248986951,variable_star,VSX_AAVSO,SDSS J013155.94-004224.7|EA
251848060,variable_star,VSX_AAVSO,Gaia DR3 5004862958384771200|ROT
251884959,variable_star,VSX_AAVSO,ASASSN-V J004232.69-331515.0|ROT
251885366,variable_star,VSX_AAVSO,Gaia DR3 5004308740100591232|ROT
259389138,variable_star,VSX_AAVSO,Gaia DR3 4781338158629286784|ROT
259408567,variable_star,VSX_AAVSO,Gaia DR3 4778154350912086144|ROT
254304085,variable_star,VSX_AAVSO,Gaia DR3 2360000833125244032|ROT
260356438,variable_star,VSX_AAVSO,Gaia DR3 5482601761382478848|ROT
260542381,variable_star,VSX_AAVSO,Gaia DR3 5482807438776512128|ROT
261561216,variable_star,VSX_AAVSO,Gaia DR3 6380614998466271360|ROT
266680029,variable_star,VSX_AAVSO,Gaia DR3 5140866916038784000|ROT
265567103,variable_star,VSX_AAVSO,Gaia DR3 6509185943983166336|ROT
266788321,variable_star,VSX_AAVSO,Gaia DR3 5136701038279959680|ROT
262531321,variable_star,VSX_AAVSO,Gaia DR3 4983896925207239424|ROT
267188864,variable_star,VSX_AAVSO,Gaia DR3 4689643699253278080|S
267324071,variable_star,VSX_AAVSO,Gaia DR3 4683924039748230528|ROT
267492210,variable_star,VSX_AAVSO,Gaia DR3 4685800631228704128|E
273699230,variable_star,VSX_AAVSO,Gaia DR3 6352230315521109120|ROT
279361762,variable_star,VSX_AAVSO,V0383 Car|DSCTC
280794991,variable_star,VSX_AAVSO,Gaia DR3 6494211179728412160|ROT
281728940,variable_star,VSX_AAVSO,Gaia DR3 4908271106698526592|ROT
279362204,variable_star,VSX_AAVSO,Gaia DR3 5480450322068448512|ROT
284082067,variable_star,VSX_AAVSO,Gaia DR3 2476614486611146880|ROT
284122100,variable_star,VSX_AAVSO,Gaia DR3 2475568919772651648|ROT
293217787,variable_star,VSX_AAVSO,Gaia DR3 4775283010655436800|ROT
300997615,variable_star,VSX_AAVSO,Gaia DR3 4956258260901326208|E
316832201,variable_star,VSX_AAVSO,Gaia DR3 6461873340164764032|ROT
316854083,variable_star,VSX_AAVSO,Gaia DR3 6459020485447808384|ROT
316832286,variable_star,VSX_AAVSO,Gaia DR3 6461866502576829056|ROT
317097443,variable_star,VSX_AAVSO,Gaia DR3 6351030954494300800|ROT
321978744,variable_star,VSX_AAVSO,Gaia DR3 4977921045152126976|ROT
32199330,variable_star,VSX_AAVSO,Gaia DR3 6618105180737389696|ROT
326205407,variable_star,VSX_AAVSO,NSV 15250|
33443827,variable_star,VSX_AAVSO,Gaia DR3 5039056262475399680|ROT
33490856,variable_star,VSX_AAVSO,Gaia DR3 5038241004667274880|ROT
33526048,variable_star,VSX_AAVSO,For2|NON-CV
327996089,variable_star,VSX_AAVSO,CZ Scl|EA
370325663,variable_star,VSX_AAVSO,Gaia DR3 6505789758724163584|ROT
355651035,variable_star,VSX_AAVSO,ASAS J235424-5756.5|EW
382416191,variable_star,VSX_AAVSO,Gaia DR3 4928785451052763264|ROT
389011260,variable_star,VSX_AAVSO,Gaia DR3 6503716320312602112|ROT
408047708,variable_star,VSX_AAVSO,Gaia DR3 2475272429590506368|ROT
423662790,variable_star,VSX_AAVSO,ASASSN-V J003147.19-164628.4|ROT
41861999,variable_star,VSX_AAVSO,AR Phe|E:
441428637,variable_star,VSX_AAVSO,Gaia DR3 6780116879062885376|ROT
52314170,variable_star,VSX_AAVSO,Gaia DR3 4687785077908628992|ROT
70744199,variable_star,VSX_AAVSO,ASASSN-V J000234.85-300525.5|ROT
70857782,variable_star,VSX_AAVSO,Gaia DR3 2310248584803371904|ROT
7143936,variable_star,VSX_AAVSO,Gaia DR3 4978214850976227456|ROT
75377810,variable_star,VSX_AAVSO,Gaia DR3 2423730932252615168|ROT
7186505,variable_star,VSX_AAVSO,Gaia DR3 4977600296994336000|ROT
76987466,variable_star,VSX_AAVSO,Gaia DR3 6551184569448548736|ROT
80363380,variable_star,VSX_AAVSO,Gaia DR3 4980826504625538048|ROT
80427281,variable_star,VSX_AAVSO,ASAS J004211-4252.7|ROT
80430264,variable_star,VSX_AAVSO,Gaia DR3 4980600864225270144|ROT
80509361,variable_star,VSX_AAVSO,Gaia DR3 4982134992183239424|ROT
92364700,variable_star,VSX_AAVSO,Gaia DR3 6781759618153463424|ROT
92364863,variable_star,VSX_AAVSO,ASASSN-V J205552.80-323020.2|ROT
92731064,variable_star,VSX_AAVSO,Gaia DR3 6781221544651203712|ROT
97469879,variable_star,VSX_AAVSO,Gaia DR3 5038520353636309120|ROT
92734713,variable_star,VSX_AAVSO,Gaia DR3 6777006291947608960|ACV|roAm|roAp|SXARI
97475019,variable_star,VSX_AAVSO,Gaia DR3 5038576256930622336|ROT
401838575,vetted_eclipse,M3_automated_vetting,secondary_eclipse(24.3sig)
304102181,vetted_eclipse,M3_automated_vetting,secondary_eclipse(10.2sig)
246848355,vetted_eclipse,M3_automated_vetting,odd_even(8.5sig)
79398126,vetted_eclipse,M3_automated_vetting,secondary_eclipse(8.9sig)
150360766,vetted_eclipse,M3_automated_vetting,secondary_eclipse(15.9sig)
197890692,vetted_eclipse,M3_automated_vetting,secondary_eclipse(15.9sig)
114859570,vetted_eclipse,M3_automated_vetting,secondary_eclipse(22.7sig)
469939293,vetted_eclipse,M3_automated_vetting,secondary_eclipse(33.8sig)
