tic,n_events_ge2,max_event_snr,period_fap,tls_sde
100103683,26,7.166872139530892,0.913086913086913,5.644304819252204
101932654,19,3.318716306504236,0.7502497502497503,5.209847679482648
101949364,19,3.0855661285969607,0.7322677322677322,4.4094574336707675
111269697,6,2.5998407058170496,0.4005994005994006,4.336089144367712
114750450,18,3.2294676655405015,0.7582417582417582,5.2911902972284315
114918596,13,5.902239919141729,0.6913086913086913,6.050197461001063
114953216,0,,,6.104013910264345
114990385,10,3.5359818745785003,0.07792207792207792,4.611701285401086
115114717,9,3.4216637241492283,0.46553446553446554,6.632417263299975
115115136,12,15.877771815883078,0.006993006993006993,24.827815910902117
115276107,4,3.7396275949650133,0.08891108891108891,3.8980147012842448
117875969,11,3.50226604696514,0.5724275724275725,6.536619649529722
120414503,13,3.215557952288703,0.1998001998001998,4.345384899173679
12393723,17,3.005141440991334,0.001998001998001998,7.753776472322324
12470520,19,3.3163984757544416,0.7042957042957043,5.788118952415966
12773534,10,3.717451933794043,0.1888111888111888,7.320918427232436
139453344,13,3.187452604682176,0.4645354645354645,4.7500430701671394
139700906,16,3.3893466823819893,0.024975024975024976,8.116319777412402
144386555,15,3.111590079789956,0.7372627372627373,4.880192533033701
144435085,10,3.9107015998250194,0.6683316683316683,4.361288386473597
150031766,28,3.3493113731605098,0.6263736263736264,5.91221426543618
150032786,16,6.615388364272365,0.42357642357642356,6.355193954066238
150065244,28,3.7699782804534543,0.24775224775224775,7.100585630404964
150102227,28,3.5520839642473776,0.7642357642357642,17.753768321375386
150191881,18,4.910562586737929,0.8181818181818182,5.714486710285345
150429481,23,3.283913876035138,0.6143856143856143,5.970873076125978
150430275,44,5.004263885148793,0.5714285714285714,5.963825096804495
155951271,14,2.8492664727792105,0.25674325674325676,4.979747578449795
155951632,23,3.052559335369279,0.9400599400599401,5.838721769402662
156003626,11,3.930233580684886,0.43156843156843155,5.817910243618948
159672838,5,4.133876845157175,0.5724275724275725,6.5991554177952345
160069047,13,2.8048770648373678,0.6053946053946054,5.556182658204569
161112458,14,3.968890851321374,0.35764235764235763,6.4673152009686445
161209504,16,4.478135950638025,0.47652347652347654,8.02396666384
161459089,13,6.875065370360446,0.6863136863136863,7.079905852321808
167526477,19,3.328133460219925,0.3096903096903097,6.416522220635502
167813804,36,6.770477605570474,0.44455544455544455,8.157564279931417
175391698,19,3.6083861956942958,0.7382617382617382,4.718324787918191
179678378,9,3.4857103157182348,0.3006993006993007,4.852180402582291
179985715,19,3.7685395201596448,0.4025974025974026,12.679382645062242
180999563,25,3.0145398637958873,0.5404595404595405,6.794473870432434
183529721,18,3.1733912522839307,0.5744255744255744,5.537647968896657
183537557,15,2.9060429743115543,0.3046953046953047,5.902461708228454
183675957,9,2.6574994074110743,0.46653346653346656,4.217153499038038
184137441,2,2.703059102233965,0.13186813186813187,4.797416008113804
184398115,5,3.763209222665497,0.5294705294705294,4.896331825589259
188544142,1,2.009026408761887,,4.715089548970758
188570399,16,5.283459895470215,0.21678321678321677,4.585325927009261
197783882,14,3.5470334838265347,0.5194805194805194,5.034348985286692
197809777,13,2.973054760148778,0.6203796203796204,4.811760858136426
197829601,30,4.607341119994122,0.6993006993006993,6.757599345870872
197892635,12,3.599339045625674,0.5344655344655345,5.6158675137865455
199731707,22,3.3880108376900355,0.4875124875124875,6.189052722813626
199735836,29,3.3126187178823154,0.6603396603396603,5.707328674032261
200742257,12,3.4249018957047777,0.41358641358641357,8.358310256138028
200769811,12,3.298288700617336,0.006993006993006993,13.638087866582076
200782823,10,3.077089911212568,0.8401598401598401,5.745478596624909
200802812,12,2.8966384287594407,0.21878121878121878,6.491009908601538
204584365,8,2.8243411913792555,0.1068931068931069,5.710177401654453
206466813,13,4.897903156896326,0.5424575424575424,5.637877457860628
206467901,11,3.574393298119321,0.5034965034965035,8.101699987430717
206469812,3,2.5725841185324274,0.3946053946053946,5.8225009657444
206474468,11,3.2191577923634886,0.4875124875124875,4.059862329115216
206478479,12,3.2008447901684662,0.7482517482517482,6.433640195802077
206532858,26,3.5544820924481915,0.6443556443556444,7.425896243681789
207148330,10,4.699414697710171,0.6713286713286714,4.637284752823836
211436475,12,3.534715862764496,0.6143856143856143,5.543289804553531
218960215,13,3.5829285382545772,0.4785214785214785,4.564312897975028
219141658,14,5.1550298151091924,0.5014985014985015,4.339062415655219
219229293,10,3.433247248623467,0.3516483516483517,5.613380341519721
219238878,13,3.2464849768961392,0.8411588411588412,5.78977274136245
219255235,8,2.955011799821455,0.5824175824175825,6.1395462342098455
220388567,15,84.8205408299363,0.000999000999000999,27.921357211444462
220394125,11,3.9856690884742423,0.4775224775224775,5.262121519041659
220394510,9,2.9472806990676976,0.22277722277722278,4.003098269634138
220408612,21,3.029607442661088,0.4015984015984016,5.28150894175779
220413881,21,3.1185521485614522,0.11288711288711288,6.41621685994869
220414767,40,3.3893894643480165,0.8191808191808192,8.161235752897868
220416628,10,3.3890720476804024,0.24575424575424576,4.43481828990457
220423078,7,3.6145825875238358,0.3646353646353646,4.552424607696651
220423277,10,3.2995595123975394,0.4925074925074925,5.754625867484903
220482527,14,6.011199925355276,0.8031968031968032,7.100216991529228
224281503,19,3.9980893504379647,0.964035964035964,5.741600814928907
224285142,25,4.604397247809808,0.4675324675324675,9.8527556293145
224285897,9,3.9509437832094743,0.25574425574425574,4.77747546039029
229037487,12,2.6510549430869017,0.5914085914085914,5.348462205652549
229039703,12,3.3769968635627374,0.6613386613386614,5.150750821439226
231013930,8,2.8635526233867323,0.16083916083916083,5.687981289305438
231020078,32,3.8487890518446193,0.5714285714285714,18.24708255209039
231047005,26,7.349865809086987,0.906093906093906,6.897186275640343
231061445,31,4.337902870040119,0.5114885114885115,4.822818015619012
231671734,15,3.444751433837892,0.001998001998001998,8.634655708746832
231862051,13,2.941349974234495,0.2057942057942058,6.604220383901386
233959273,23,3.594592912424559,0.6003996003996004,7.824895124988286
237356930,7,4.571268461095891,0.6923076923076923,4.056201014410584
237356985,7,2.4978044541986626,0.3386613386613387,4.8368180644353895
237912376,30,4.384251259745282,0.08691308691308691,7.95958777772189
240764987,45,4.721677035842659,0.000999000999000999,16.29493223598234
246883482,14,3.251112669957826,0.3006993006993007,6.5097385023294105
248945311,12,3.4519526733493655,0.26873126873126874,5.719051177115948
248952560,3,2.29571684126431,0.5514485514485514,6.836190882559263
251841265,20,3.899222824339216,0.6773226773226774,5.262341439659044
251845481,12,3.8125372748800364,0.8191808191808192,6.386854469753792
251846711,21,3.2573278167181217,0.984015984015984,4.932407256596371
251848320,17,3.0361911661100462,0.48951048951048953,5.731554799166353
251853202,15,3.6874408255711524,0.16883116883116883,4.714525337626353
251879885,13,4.74065901650744,0.12387612387612387,7.032899022222083
251881536,11,2.9053814948374663,0.1958041958041958,4.663739439950876
251882735,12,3.548796979919865,0.3946053946053946,6.782922561870064
257735550,14,4.265075805750185,0.27172827172827174,6.840741372157114
260420562,48,2.9768627936265735,0.8831168831168831,6.541924492657021
262820103,7,3.2498441863745002,0.7212787212787213,6.926058276822312
262823544,8,2.7534448922189565,0.14885114885114886,6.526250434483169
262824351,14,3.6454078740684275,0.6033966033966034,5.377233705360565
262829638,2,2.719137248516115,0.0969030969030969,5.5329721569323995
266717622,9,3.184426215021582,0.12787212787212787,4.37516185557447
266877446,5,4.195177833333964,0.43156843156843155,3.9145123157973605
266968065,15,3.688946910184095,0.36563436563436563,4.622244210614908
267320484,14,3.50785105337101,0.5294705294705294,6.3567048001469
268769168,10,3.561314970779855,0.5714285714285714,5.4173257935321555
270166054,10,7.211914359507173,0.12887112887112886,4.539228340778292
270275818,20,3.382616324391807,0.28471528471528473,5.046456266264348
270621379,17,3.6689291539653484,0.6133866133866134,5.114155395831377
277802122,2,3.0341370797790126,0.33466533466533466,3.9395915428998
277892347,14,3.510566781357121,0.4985014985014985,5.642750460357398
281598447,32,3.3856082947729025,0.4245754245754246,6.5369660430070375
281729296,30,3.3840845221007645,0.9270729270729271,6.447126324617379
281788484,14,2.977032106400214,0.6343656343656343,5.377129023619575
287174076,10,5.986205989991272,0.7812187812187812,12.666314623344523
293166958,3,2.9523924434465902,0.07192807192807193,6.313940330910108
293224564,38,3.3321232691351095,0.3986013986013986,6.65772531311962
293270932,28,5.123538270762082,0.945054945054945,10.341880044049569
299134860,10,3.2432266368857237,0.3866133866133866,7.006588008365462
313934186,2,2.0388309013831036,0.08891108891108891,6.133427586980193
316854882,20,3.4320326485160577,0.7582417582417582,6.3944761411608875
316915259,21,3.4000565449015685,0.4355644355644356,5.8859873968765095
316967137,7,3.3502962953012227,0.3836163836163836,3.310061913041256
317128444,13,3.973491192497321,0.7892107892107892,5.1922305428342215
326198086,2,2.343304842143565,0.16683316683316685,9.681199557113551
33493176,9,3.9025565410594734,0.27972027972027974,4.94912473312296
364264680,1,2.3603570243984584,,6.3827368469446535
369219891,12,2.9791930099174895,0.8031968031968032,4.876543124789911
37716825,7,4.638620145429926,0.5924075924075924,5.1009722141091265
37744730,12,11.35065859771478,0.4825174825174825,4.097754834976978
37745685,14,6.548732660741629,0.7032967032967034,6.300817342657496
37773644,7,3.2450624916394943,0.25874125874125875,4.274275316318386
3806602,11,4.013043974155361,0.8571428571428571,4.825496187761394
380824767,13,3.4952084393832936,0.8721278721278721,6.145936234860637
380827643,14,2.935957462578288,0.4855144855144855,5.0820700290046155
382304517,15,3.326073800986236,0.023976023976023976,5.140317616823932
382472618,14,4.1085746366942155,0.5794205794205795,5.710118288392412
3836148,9,6.525906713089697,0.7382617382617382,4.09400278671776
393963749,15,2.9793182434953445,0.34865134865134867,5.0164727138424885
396695653,10,3.2821441522515125,0.7732267732267732,4.387012667095644
396723074,6,3.9442522175510284,0.15384615384615385,4.640220769326251
40047077,18,3.5431485960006492,0.000999000999000999,7.682267791841371
402026350,21,3.76270886738811,0.9010989010989011,6.193123036446235
402129754,14,5.153109049094555,0.4645354645354645,7.736427265715287
405428895,16,3.4238015123653343,0.7492507492507493,5.824822214870256
408004431,2,3.3833106621954516,0.11488511488511488,6.323823884825748
408083407,7,3.2414217442856006,0.04795204795204795,4.98896814918267
419051315,13,3.185954219084,0.2967032967032967,7.778823159137333
425931703,33,3.090976043136145,0.5974025974025974,8.838727100702652
425936552,6,3.036846013416282,0.0939060939060939,9.062533223949279
441056293,14,7.485758820073011,0.4905094905094905,9.229281593619351
441193637,17,3.894640678563704,0.5864135864135864,5.226658823314903
44626145,0,,,5.293014805698712
469947160,6,3.224918372912512,0.33966033966033965,5.003448969518105
469948126,16,3.3645011436459336,0.22677322677322678,7.236784033109815
469980385,20,3.656302455810786,0.995004995004995,5.005089279075356
52077955,10,2.711729149994099,0.5814185814185814,5.242866154533451
53938270,18,4.055357407970795,0.9470529470529471,5.132796118261806
60111124,16,3.5363901772434865,0.06393606393606394,5.052314757476241
66356538,14,3.6801218655361154,0.5124875124875125,4.518003996251503
70722627,2,2.7617224878586035,0.1048951048951049,5.660807224278708
70744320,4,2.934242291992426,0.2857142857142857,7.742592707481268
70777408,13,3.3811889780396323,0.4145854145854146,5.837134187254081
79403675,7,3.203620172460972,0.03996003996003996,6.752159468799012
79424904,17,4.073382352967686,0.7712287712287712,4.728964343246189
80339388,11,3.802136561647432,0.5474525474525475,4.102638594833983
80438901,12,3.8249061603226653,0.3696303696303696,5.436303510454878
92196301,10,3.2663162673633748,0.17882117882117882,6.047025170604785
92444934,1,2.188434924700778,,4.470761127527077
92451349,15,10.487427843311336,0.6903096903096904,6.212822588402271
92706840,7,13.72627972749,0.1938061938061938,4.529265756794735
