tic,n_events_ge2,max_event_snr,period_fap,tls_sde,ra,dec,Tmag,Teff,rad
100106368,28,3.5189740066354234,0.3536463536463536,6.478091898252838,25.2136199276337,-45.2914533230031,10.1277,4980.0,0.779934
100067280,27,3.5097259162578687,0.2287712287712287,6.616164150832232,23.8264318093484,-43.5277747030281,9.7159,5740.0,1.36074
100103683,26,7.166872139530892,0.913086913086913,5.644304819252204,24.7051062679578,-47.6786185941362,10.4134,5876.0,1.00528
100102303,32,3.345412384658381,0.97002997002997,9.595587144553916,24.5462211133545,-43.3732199913935,10.2291,5337.8,1.08134
100101948,34,3.5195249653121197,0.3806193806193806,6.5410705165917635,24.5197707677752,-45.1399980701373,10.3427,5308.0,1.0628
100123854,8,5.057762475113501,0.6303696303696303,4.945111004380183,25.7324287155423,-42.2034475493962,9.45769,3807.0,0.556155
100921427,13,3.3850263826018203,0.3136863136863136,5.031669111776963,54.3051703306354,-46.1679056858031,11.9115,3378.0,0.403576
100975203,9,3.0833525208991825,0.2937062937062937,5.205273194315038,54.5209749285514,-46.0752815901324,9.0666,6062.0,1.07549
101014057,12,5.214670924790869,0.7152847152847153,5.571767757281706,55.7060538903357,-45.5187075820212,10.7981,5173.7,0.911362
101017159,12,4.986890055747576,0.7562437562437563,4.961440461691715,56.2898027349851,-47.6482534234461,14.254,31000.0,0.18
101058021,8,2.7443295294479317,0.6503496503496503,5.452196276057419,56.7181047492936,-44.9597984901965,13.6558,3181.0,0.239699
101017638,12,3.6381497729977266,0.1648351648351648,4.7016168503567615,56.2246729038703,-45.2553239741228,14.5269,3220.0,0.278491
101070347,14,4.243595616974445,0.8321678321678322,4.999011496349894,57.1430163880503,-45.173211619433,8.2793,6048.0,1.51649
101099031,4,2.3958497473054643,0.3046953046953047,6.1730811300024735,57.3526491069701,-44.3433936823295,8.5207,6083.0,1.12333
101126095,10,3.8725454981669007,0.5894105894105894,4.901972322864677,58.1163092442781,-44.1665652743507,8.6306,7405.0,1.6184
101101390,14,3.6962551692273986,0.7712287712287712,5.299174748138157,57.7559140719469,-43.9840255403199,10.2841,5267.0,1.00664
101139085,9,3.4661947322026467,0.1628371628371628,4.029249921446757,58.2988730483567,-44.9861030257073,9.4516,6266.4,0.998409
