P,Rp,n,w_c,R_comb,R_tls,dR
0.5,1,8,0.06053811659192827,0.125,0.125,0.0
0.5,2,8,0.09417040358744398,0.125,0.125,0.0
0.5,4,8,0.005979073243647237,0.875,0.5,0.375
0.5,8,8,0.0017487668182994205,0.875,0.625,0.25
0.5,12,8,0.0042303064253478165,1.0,0.5,0.5
1.0,1,8,0.06053811659192827,0.125,0.125,0.0
1.0,2,8,0.09417040358744398,0.375,0.375,0.0
1.0,4,8,0.005979073243647237,0.5,0.625,-0.125
1.0,8,8,0.0017487668182994205,0.75,0.875,-0.125
1.0,12,8,0.0042303064253478165,0.875,1.0,-0.125
2.0,1,8,0.06053811659192827,0.125,0.125,0.0
2.0,2,8,0.09417040358744398,0.5,0.5,0.0
2.0,4,8,0.005979073243647237,0.75,1.0,-0.25
2.0,8,8,0.0017487668182994205,0.5,1.0,-0.5
2.0,12,8,0.0042303064253478165,0.625,1.0,-0.375
4.0,1,8,0.06053811659192827,0.0,0.0,0.0
4.0,2,8,0.09417040358744398,0.375,0.375,0.0
4.0,4,8,0.005979073243647237,0.625,0.625,0.0
4.0,8,8,0.0017487668182994205,0.875,0.875,0.0
4.0,12,8,0.0042303064253478165,0.75,1.0,-0.25
8.0,1,8,0.06053811659192827,0.125,0.125,0.0
8.0,2,8,0.09417040358744398,0.125,0.125,0.0
8.0,4,8,0.005979073243647237,0.75,0.75,0.0
8.0,8,8,0.0017487668182994205,1.0,1.0,0.0
8.0,12,8,0.0042303064253478165,1.0,1.0,0.0
16.0,1,8,0.06053811659192827,0.0,0.0,0.0
16.0,2,8,0.09417040358744398,0.125,0.125,0.0
16.0,4,8,0.005979073243647237,0.375,0.375,0.0
16.0,8,8,0.0017487668182994205,0.625,0.625,0.0
16.0,12,8,0.0042303064253478165,0.625,0.625,0.0
