P,Rp,n,w_c,R_comb,R_tls,dR
0.5,1,5,0.06053811659192827,0.0,0.0,0.0
0.5,2,5,0.09417040358744398,0.2,0.2,0.0
0.5,4,5,0.005979073243647237,0.4,0.2,0.2
0.5,8,5,0.0017487668182994205,1.0,0.6,0.4
0.5,12,5,0.0042303064253478165,1.0,0.0,1.0
1.0,1,5,0.06053811659192827,0.0,0.0,0.0
1.0,2,5,0.09417040358744398,0.6,0.6,0.0
1.0,4,5,0.005979073243647237,1.0,1.0,0.0
1.0,8,5,0.0017487668182994205,0.8,1.0,-0.19999999999999996
1.0,12,5,0.0042303064253478165,0.6,1.0,-0.4
2.0,1,5,0.06053811659192827,0.0,0.0,0.0
2.0,2,5,0.09417040358744398,0.2,0.2,0.0
2.0,4,5,0.005979073243647237,0.8,1.0,-0.19999999999999996
2.0,8,5,0.0017487668182994205,0.2,0.6,-0.39999999999999997
2.0,12,5,0.0042303064253478165,0.2,1.0,-0.8
4.0,1,5,0.06053811659192827,0.0,0.0,0.0
4.0,2,5,0.09417040358744398,0.2,0.2,0.0
4.0,4,5,0.005979073243647237,0.6,0.6,0.0
4.0,8,5,0.0017487668182994205,0.8,1.0,-0.19999999999999996
4.0,12,5,0.0042303064253478165,1.0,1.0,0.0
8.0,1,5,0.06053811659192827,0.0,0.0,0.0
8.0,2,5,0.09417040358744398,0.2,0.2,0.0
8.0,4,5,0.005979073243647237,0.4,0.6,-0.19999999999999996
8.0,8,5,0.0017487668182994205,0.6,0.8,-0.20000000000000007
8.0,12,5,0.0042303064253478165,1.0,1.0,0.0
16.0,1,5,0.06053811659192827,0.0,0.0,0.0
16.0,2,5,0.09417040358744398,0.0,0.0,0.0
16.0,4,5,0.005979073243647237,0.4,0.4,0.0
16.0,8,5,0.0017487668182994205,0.4,0.4,0.0
16.0,12,5,0.0042303064253478165,0.2,0.4,-0.2
