tic,period_days,radius_rearth,b,n_transits,routed,fap_ok,confirmed_cheap,rec_tls,rec_comb
164768954,0.5,1,0.0,36,True,False,False,False,False
268765642,0.5,2,0.6,36,True,False,False,False,False
308209064,0.5,1,0.6,50,False,False,False,False,False
251885542,0.5,1,0.3,50,False,False,False,False,False
114918596,0.5,1,0.3,51,True,False,False,False,False
231704229,0.5,2,0.0,51,True,True,True,True,True
150188659,0.5,2,0.3,51,False,False,False,False,False
220482148,0.5,4,0.3,51,False,False,False,False,False
251828912,0.5,4,0.0,50,True,True,True,False,True
248955543,0.5,4,0.3,36,True,True,True,False,False
115693639,0.5,4,0.0,50,True,True,True,True,True
160113035,0.5,8,0.0,50,True,True,True,False,True
199729914,0.5,1,0.0,100,False,False,False,False,False
40182390,0.5,12,0.0,36,True,True,True,False,True
161174069,0.5,8,0.0,51,True,True,True,False,True
70776480,0.5,8,0.3,50,True,True,True,True,True
3836364,0.5,12,0.3,36,True,True,True,False,True
20923934,0.5,12,0.0,36,True,True,True,False,True
100123131,0.5,4,0.6,100,True,False,False,False,False
389527466,0.5,12,0.6,51,True,True,True,False,True
228507309,1.0,1,0.0,25,False,False,False,False,False
218968119,1.0,1,0.3,25,False,False,False,False,False
11645778,1.0,1,0.0,18,False,False,False,False,False
161376469,0.5,12,0.3,50,True,True,True,False,True
279091054,0.5,8,0.3,100,True,True,True,True,True
259472825,1.0,2,0.3,18,False,False,False,True,True
218972061,1.0,1,0.3,25,False,False,False,False,False
219221780,1.0,2,0.0,18,False,False,False,False,False
100101948,0.5,8,0.6,100,True,True,True,True,True
231009108,1.0,2,0.3,25,True,False,False,True,True
155895287,1.0,4,0.0,25,False,False,False,True,True
80342205,1.0,4,0.3,25,True,True,True,True,True
150274632,0.5,2,0.3,157,True,False,False,False,False
169266000,1.0,4,0.6,25,True,True,True,True,True
370233036,1.0,4,0.0,26,True,True,True,True,True
327939708,1.0,4,0.3,25,True,True,True,True,True
369219815,1.0,8,0.0,26,True,True,True,True,True
