tic,P,Rp,routed,k,p_hat,pmatch,fap_red,fap_white
268751690,4.0,4,True,11,8.887629428843184,False,0.7832167832167832,0.940149625935162
98666609,1.0,2,True,16,0.5019101618563963,True,0.000999000999000999,0.0024937655860349127
120505367,2.0,4,True,8,2.4278002651415673,False,0.17082917082917082,0.19451371571072318
114818789,1.0,4,True,13,0.5014187855825472,True,0.13086913086913088,0.16708229426433915
401985735,4.0,8,True,14,3.6911777155553955,False,0.6103896103896104,0.9376558603491272
92442172,2.0,8,True,21,1.9581539705079718,False,0.002997002997002997,0.0024937655860349127
231009108,1.0,8,True,26,0.5010078800046195,True,0.000999000999000999,0.0024937655860349127
408083839,1.0,2,True,17,1.0155596753502276,False,0.34765234765234765,0.628428927680798
248392812,1.0,8,True,17,0.5012125360207013,True,0.000999000999000999,0.0024937655860349127
120430207,1.0,4,True,33,0.5007559181855004,True,0.000999000999000999,0.0024937655860349127
396721668,4.0,8,True,10,8.888951630049405,False,0.7732267732267732,0.9800498753117207
231636691,2.0,2,True,17,0.9900144231076559,True,0.004995004995004995,0.0024937655860349127
254302983,2.0,8,True,24,0.6704087670511969,True,0.011988011988011988,0.022443890274314215
303981359,2.0,2,True,32,1.992851384930798,True,0.000999000999000999,0.0024937655860349127
11649619,1.0,4,True,18,0.5015567024358137,True,0.000999000999000999,0.0024937655860349127
20924063,1.0,8,True,16,1.0038879802681835,True,0.000999000999000999,0.0024937655860349127
220430530,2.0,2,True,6,3.0213769468826537,False,0.4355644355644356,0.7381546134663342
150391118,2.0,4,True,24,0.6657852834267406,True,0.000999000999000999,0.0024937655860349127
313934195,2.0,4,True,9,0.604333274912442,False,0.47352647352647353,0.8902743142144638
219337000,4.0,4,True,4,0.5770776264473357,False,0.1028971028971029,0.08478802992518704
269847768,1.0,2,True,17,0.9917036042687685,True,0.03696303696303696,0.04239401496259352
144313331,4.0,4,True,12,0.5005844862192569,False,0.12887112887112886,0.26433915211970077
143952604,4.0,8,True,7,0.5012726577903729,False,0.014985014985014986,0.0024937655860349127
80080784,1.0,4,True,25,0.5019573581909872,True,0.000999000999000999,0.0024937655860349127
98672854,2.0,2,True,7,2.345876350042713,False,0.5974025974025974,0.7980049875311721
355767588,1.0,2,True,39,0.9986270459661274,True,0.000999000999000999,0.0024937655860349127
396721425,2.0,8,True,35,0.5001534737027663,False,0.000999000999000999,0.0024937655860349127
207088262,1.0,8,True,29,0.5005676651809305,True,0.000999000999000999,0.0024937655860349127
40043612,2.0,4,True,15,1.4316065227531776,False,0.7962037962037962,0.9650872817955112
70775634,2.0,8,True,19,0.5003350820172991,False,0.004995004995004995,0.007481296758104738
11649564,1.0,4,True,16,0.9915612279566083,True,0.000999000999000999,0.0024937655860349127
266994443,1.0,2,True,11,0.5447655874893504,False,0.4405594405594406,0.6608478802992519
421873120,1.0,8,True,27,0.5011817125012689,True,0.000999000999000999,0.0024937655860349127
3922529,4.0,4,True,13,0.8159742319811186,False,0.6063936063936064,0.7506234413965087
270480629,2.0,8,True,15,0.5019600531829053,False,0.001998001998001998,0.007481296758104738
154844651,4.0,8,True,15,0.5622130605675664,False,0.5024975024975025,0.7306733167082294
53976572,1.0,2,True,16,0.9957803331076227,True,0.4955044955044955,0.830423940149626
160192747,1.0,8,True,16,0.5030113846821395,True,0.000999000999000999,0.0024937655860349127
183645350,2.0,2,True,20,0.7557439446311056,False,0.05094905094905095,0.004987531172069825
144440091,1.0,4,True,31,0.5011711332646119,True,0.000999000999000999,0.0024937655860349127
375059160,4.0,8,True,39,0.5000677834810944,False,0.22777222777222778,0.26184538653366585
198005341,2.0,2,True,6,1.3972916197974639,False,0.14385614385614387,0.04239401496259352
278991073,4.0,4,True,47,0.9984422139384074,False,0.08791208791208792,0.19201995012468828
98672920,4.0,4,True,16,2.0502109310000294,False,0.7822177822177823,0.9177057356608479
248962024,2.0,8,True,15,1.9677349018444872,False,0.07292707292707293,0.17206982543640897
139700604,2.0,4,True,14,0.666300689909897,True,0.000999000999000999,0.0024937655860349127
206475215,1.0,8,True,19,0.500946694682117,True,0.000999000999000999,0.0024937655860349127
92258567,4.0,8,True,17,4.152834252857833,False,0.3156843156843157,0.7032418952618454
369706317,2.0,4,True,59,0.6662494479376762,True,0.000999000999000999,0.0024937655860349127
