tic,arm,P_true,Rp,b,period_min,sde,period_hat,recovered,period_ok,sde_ok
439455229,A_edge_pmin0.5,0.5,8,0.6,0.5,18.89655112711754,1.0005285980660497,False,True,True
439455229,B_extended_pmin0.3,0.5,8,0.6,0.3,18.89655112711754,1.0005285980660497,False,True,True
92258567,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,38.91338788290153,0.6200751539784424,True,True,True
92258567,A_edge_pmin0.5,0.5,8,0.0,0.5,22.687657749968448,1.0004002209977334,False,True,True
92258567,B_extended_pmin0.3,0.5,8,0.0,0.3,22.687657749968448,1.0004002209977334,False,True,True
439455229,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,23.526939144878675,0.6198947009041548,True,True,True
3990356,A_edge_pmin0.5,0.5,8,0.0,0.5,17.27327848220211,1.0005274797663173,False,True,True
3990356,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,10.930191106791614,0.6198939595305827,True,True,True
3990356,B_extended_pmin0.3,0.5,8,0.0,0.3,17.27327848220211,1.0005274797663173,False,True,True
101963736,A_edge_pmin0.5,0.5,8,0.6,0.5,23.716893538552497,1.0003297938534803,True,True,True
220407530,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,34.87020616262378,0.6199032353209318,True,True,True
101963736,B_extended_pmin0.3,0.5,8,0.6,0.3,23.716893538552497,1.0003297938534803,True,True,True
220407530,B_extended_pmin0.3,0.5,8,0.3,0.3,32.50757826299996,0.9998564060819696,True,True,True
220407530,A_edge_pmin0.5,0.5,8,0.3,0.5,32.50757826299996,0.9998564060819696,True,True,True
101963736,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,25.8296921310653,0.6201970951486143,True,True,True
182521219,A_edge_pmin0.5,0.5,8,0.0,0.5,24.494910414672425,0.9996265095935749,True,True,True
182521219,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,26.312985935070532,0.6202235937469773,True,True,True
182521219,B_extended_pmin0.3,0.5,8,0.0,0.3,24.494910414672425,0.9996265095935749,True,True,True
372848247,A_edge_pmin0.5,0.5,8,0.3,0.5,43.007100775117486,0.9998545429200789,False,True,True
372848247,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,60.35184546307352,0.6199020297541348,True,True,True
372848247,B_extended_pmin0.3,0.5,8,0.3,0.3,43.007100775117486,0.9998545429200789,False,True,True
237356492,A_edge_pmin0.5,0.5,8,0.3,0.5,19.099741447847613,1.0005710441184246,True,True,True
237356492,B_extended_pmin0.3,0.5,8,0.3,0.3,19.099741447847613,1.0005710441184246,True,True,True
237356492,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,27.018055452737126,0.6199228404392767,True,True,True
389131517,A_edge_pmin0.5,0.5,8,0.6,0.5,22.905849863968758,1.0004799330832341,True,True,True
389131517,B_extended_pmin0.3,0.5,8,0.6,0.3,22.905849863968758,1.0004799330832341,True,True,True
389131517,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,26.79062539509084,0.6201317686255745,True,True,True
231627272,A_edge_pmin0.5,0.5,8,0.0,0.5,18.28471323509779,1.0004728256814006,True,True,True
231627272,B_extended_pmin0.3,0.5,8,0.0,0.3,18.28471323509779,1.0004728256814006,True,True,True
231627272,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,12.266174046013955,0.6201271033161329,True,True,True
144308900,A_edge_pmin0.5,0.5,8,0.3,0.5,23.50855408640182,0.9996272409445901,True,True,True
144308900,B_extended_pmin0.3,0.5,8,0.3,0.3,23.50855408640182,0.9996272409445901,True,True,True
144308900,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,27.24857390258588,0.6202568571896776,True,True,True
231704229,A_edge_pmin0.5,0.5,8,0.6,0.5,26.668273640455944,0.9996346841954065,True,True,True
231704229,B_extended_pmin0.3,0.5,8,0.6,0.3,26.668273640455944,0.9996346841954065,True,True,True
231704229,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,38.8988897415548,0.6202289642411031,True,True,True
231862051,A_edge_pmin0.5,0.5,8,0.0,0.5,24.38949034357584,1.0003098402521347,True,True,True
231862051,B_extended_pmin0.3,0.5,8,0.0,0.3,24.38949034357584,1.0003098402521347,True,True,True
231862051,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,29.48798162255229,0.6201839882023592,True,True,True
63697556,A_edge_pmin0.5,0.5,8,0.3,0.5,22.87623505777001,1.0003350349071651,False,True,True
63697556,B_extended_pmin0.3,0.5,8,0.3,0.3,22.87623505777001,1.0003350349071651,False,True,True
63697556,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,28.374352680395763,0.6202005378487944,True,True,True
200657905,A_edge_pmin0.5,0.5,8,0.6,0.5,19.309128620781877,1.0002915204149812,False,True,True
200657905,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,15.301638678781192,0.6201719544441939,True,True,True
200657905,B_extended_pmin0.3,0.5,8,0.6,0.3,19.309128620781877,1.0002915204149812,False,True,True
198005341,A_edge_pmin0.5,0.5,8,0.0,0.5,17.628003252863003,1.0005585962399124,False,True,True
198005341,B_extended_pmin0.3,0.5,8,0.0,0.3,17.628003252863003,1.0005585962399124,False,True,True
198005341,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,14.409343753363371,0.6199145881307068,True,True,True
115693639,A_edge_pmin0.5,0.5,8,0.3,0.5,23.860176468306033,1.0003313624908885,True,True,True
115693639,B_extended_pmin0.3,0.5,8,0.3,0.3,23.860176468306033,1.0003313624908885,True,True,True
115693639,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,28.701710081273824,0.6201981255421093,True,True,True
380858160,A_edge_pmin0.5,0.5,8,0.0,0.5,21.375600365437283,1.0003112754318169,False,True,True
380858160,B_extended_pmin0.3,0.5,8,0.0,0.3,21.375600365437283,1.0003112754318169,False,True,True
380858160,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,16.66782009809203,0.6201849309299884,True,True,True
469939625,A_edge_pmin0.5,0.5,8,0.3,0.5,24.741700498344027,1.000299098928317,False,True,True
469939625,B_extended_pmin0.3,0.5,8,0.3,0.3,24.741700498344027,1.000299098928317,False,True,True
469939625,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,27.82810373283547,0.6201769325432434,True,True,True
279091165,A_edge_pmin0.5,0.5,8,0.6,0.5,8.198781298449193,8.504529566596444,False,False,False
