key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match
161173424_P0.5_R2_0,inj,True,0.5016665116154759,0.6333187092362659,25.0,0.001998001998001998,1e-06,0.5,True
220595865_P0.5_R2_1,inj,True,0.5031317438797117,0.5647443723078632,22.0,0.07092907092907093,0.08141559906985488,0.5,True
281786416_P0.5_R2_3,inj,True,0.5013412806693034,0.585216416646081,25.0,0.008991008991008992,0.054249038652283754,0.5,True
402042483_P0.5_R2_5,inj,True,0.5002258018282735,0.8761243045135371,37.0,0.000999000999000999,1e-06,0.5,True
251886984_P0.5_R2_6,inj,True,0.5054795244075507,0.609010675504026,18.0,0.025974025974025976,0.016534937334787374,0.5,False
207174980_P0.5_R2_7,inj,True,0.502864160952172,0.6408587577731675,27.0,0.002997002997002997,1e-06,0.5,True
197885600_P0.5_R2_4,inj,True,0.5003047671001958,0.8910088022005355,67.0,0.000999000999000999,1e-06,0.5,True
281815410_P0.5_R2_8,inj,True,2.411629534721298,0.9694051223919733,4.0,0.08391608391608392,0.1485148514851485,0.5,False
183532275_P0.5_R2_9,inj,True,0.5019575400281855,0.7278824833602274,7.0,0.33966033966033965,0.36633663366336633,0.5,True
55855870_P0.5_R2_10,inj,True,0.5017315526078482,0.6567652275638399,11.0,0.17682317682317683,0.2079207920792079,0.5,True
241765380_P0.5_R2_11,inj,True,0.9200177927496468,0.5716082863048529,13.0,0.2967032967032967,0.2871287128712871,0.5,False
317128444_P1.0_R2_14,inj,True,0.9962535589287176,0.6471256830630983,19.0,0.02197802197802198,0.01733546809507642,1.0,True
369706317_P0.5_R2_2,inj,True,0.5007904453991003,0.5889443713090503,86.0,0.000999000999000999,1e-06,0.5,True
355508749_P1.0_R2_16,inj,True,0.5000049591587765,0.6597376070127986,20.0,0.006993006993006993,1e-06,1.0,True
11615061_P1.0_R2_17,inj,True,1.0981135571488183,0.40261032758549664,19.0,0.6943056943056943,0.6732673267326733,1.0,False
183620516_P1.0_R2_13,inj,True,0.5011029099534912,0.5246584063621581,19.0,0.18081918081918083,0.13861386138613863,1.0,True
198078007_P1.0_R2_18,inj,True,0.6168927567488729,0.6629310915290434,8.0,0.6903096903096904,0.7425742574257426,1.0,False
199729914_P1.0_R2_12,inj,True,0.5002093262887407,0.8013941056930384,47.0,0.000999000999000999,1e-06,1.0,True
136845966_P1.0_R2_20,inj,True,0.5033362237052665,0.811839180171809,11.0,0.015984015984015984,0.012613544212199155,1.0,True
206477756_P1.0_R2_21,inj,True,0.5008693319623708,0.8294919201727518,19.0,0.000999000999000999,1e-06,1.0,True
441493794_P1.0_R2_22,inj,True,0.5014788479695803,0.7903254517972773,19.0,0.000999000999000999,1e-06,1.0,True
469966859_P1.0_R2_15,inj,True,0.5011792952480884,0.6175636505224136,42.0,0.000999000999000999,1e-06,1.0,True
270653912_P1.0_R2_19,inj,True,0.8877228712766703,0.4564812630473585,18.0,0.5084915084915085,0.43564356435643564,1.0,False
280789967_P2.0_R2_27,inj,True,0.578532001536958,0.5500555724789411,15.0,0.24975024975024976,0.3069306930693069,2.0,False
161458420_P2.0_R2_25,inj,True,0.6937498911787329,0.5333525582443498,11.0,0.7972027972027972,0.8316831683168316,2.0,False
277891996_P2.0_R2_24,inj,True,0.664867685079545,0.6512367702151235,13.0,0.04295704295704296,0.030370386097175846,2.0,True
62221982_P2.0_R2_26,inj,True,1.0095332790356795,0.6513625453761107,20.0,0.03596403596403597,0.06739501812930074,2.0,True
52314627_P2.0_R2_28,inj,True,0.6642098900471737,0.7205524523590956,12.0,0.058941058941058944,0.08612175281249708,2.0,True
144102233_P2.0_R2_31,inj,True,2.4288641286388866,0.5270405602326481,12.0,0.4855144855144855,0.45544554455445546,2.0,False
70723782_P2.0_R2_29,inj,True,0.501815152268744,0.49683254953321354,19.0,0.3276723276723277,0.38613861386138615,2.0,False
382413530_P2.0_R2_32,inj,True,0.6680644022643554,0.520287368570856,19.0,0.17782217782217782,0.2079207920792079,2.0,True
92452841_P2.0_R2_33,inj,True,0.5022769269392765,0.6177953172832659,14.0,0.06393606393606394,0.05140183056577063,2.0,False
278779083_P1.0_R2_23,inj,True,0.5000973692888001,0.598695184513848,61.0,0.000999000999000999,1e-06,1.0,True
251828912_P2.0_R2_34,inj,True,0.9955942894690712,0.6358348462180748,18.0,0.02197802197802198,0.03703134359210739,2.0,True
308209067_P2.0_R2_35,inj,True,0.5006683737015443,0.5423074320317501,21.0,0.1108891108891109,0.09909934421140416,2.0,False
425884565_P2.0_R2_30,inj,True,1.99376198380925,0.41865214587085264,34.0,0.33166833166833165,0.32673267326732675,2.0,True
229112415_P4.0_R2_37,inj,True,0.6187042272959332,0.5111309172500955,15.0,0.6353646353646354,0.6831683168316832,4.0,False
248955543_P4.0_R2_39,inj,True,0.5468086830101309,0.7307916997636379,8.0,0.18181818181818182,0.16831683168316833,4.0,False
469933344_P4.0_R2_40,inj,True,0.8135252134363347,0.551576205176088,14.0,0.2647352647352647,0.21782178217821782,4.0,False
439455229_P4.0_R2_42,inj,True,1.2474348273098,0.6955145013071482,9.0,0.12787212787212787,0.13861386138613863,4.0,False
52016952_P4.0_R2_41,inj,True,2.3201024213799175,0.5774388694342959,14.0,0.3026973026973027,0.33663366336633666,4.0,False
52194213_P4.0_R2_36,inj,True,0.7986980757033127,0.41511788790756265,34.0,0.2967032967032967,0.3564356435643564,4.0,False
