tic,k,obs_R,obs_nfreq,ge_own,ge_fixed,gate_own,gate_fixed
101017638,12,0.6768773030413139,92,164,165,False,False
101058021,8,0.6768521818429789,87,650,651,False,False
101070347,14,0.49147217502301066,86,832,830,False,False
101099031,4,0.9195059550318219,33,304,273,False,False
101100320,7,0.8846101375696442,84,99,102,False,False
101101390,14,0.51711158540584,87,771,767,False,False
101126095,10,0.6598549315757009,87,589,600,False,False
101139085,9,0.7865168076990889,66,162,146,False,False
100975203,9,0.6909096156124621,94,293,304,False,False
100990409,5,0.7709909296251236,63,348,334,False,False
101014057,12,0.5669634270133618,90,715,723,False,False
101017159,12,0.5127945671787718,83,756,760,False,False
101930558,16,0.44173840260103725,109,859,848,False,False
101932572,15,0.5256082442439971,127,399,401,False,False
101932654,19,0.42998870355827057,128,750,753,False,False
101933280,10,0.6880078489006378,125,618,623,False,False
101944261,11,0.6283358178997818,126,497,494,False,False
101948395,12,0.5290375674145482,106,730,716,False,False
101948780,15,0.47428076648896034,138,662,671,False,False
101949364,19,0.4669908820500219,136,732,737,False,False
10802452,2,1.0,18,155,0,False,True
10819194,7,0.6917943116576595,73,554,540,False,False
10838083,9,0.615854219146979,96,664,677,False,False
100107681,34,0.43799633232752244,281,168,167,False,False
100123131,33,0.32861094149241254,272,978,979,False,False
100123854,8,0.6283351900569243,82,630,619,False,False
100921427,13,0.6571441742328262,90,313,316,False,False
111244232,11,0.45777082242436307,86,923,920,False,False
111245072,13,0.6101443441167952,96,315,320,False,False
111267568,3,0.9918190008946336,45,147,151,False,False
111269697,6,0.7873601322880631,95,400,422,False,False
101949836,11,0.712449602888999,141,121,129,False,False
101963736,12,0.5955594814600425,125,197,190,False,False
101992165,17,0.560326256177954,135,243,231,False,False
102029678,18,0.38185391770943,135,979,980,False,False
100029948,28,0.9967491873524947,286,0,0,True,True
100067280,27,0.47055397624307005,272,228,219,False,False
100100827,48,0.7256244393179795,286,0,0,True,True
100100829,35,0.5497291993457553,227,6,3,True,True
100101948,34,0.42421207823608365,281,380,397,False,False
100102303,32,0.33157192771227306,282,970,970,False,False
100103683,26,0.3678020154460627,277,913,905,False,False
100106368,28,0.4572651982692244,285,353,355,False,False
114750450,18,0.4613660800400683,125,758,751,False,False
114750474,11,0.8625154679670021,123,61,60,False,False
114818487,4,0.9289298891713825,61,324,301,False,False
114818789,10,0.6396427818566596,97,384,369,False,False
114858562,11,0.5477234251666663,128,779,770,False,False
114859570,17,0.4622799432544735,140,621,620,False,False
114918596,13,0.5238735350425704,125,691,698,False,False
114948814,17,0.4608785735143901,137,811,816,False,False
114949823,11,0.5957877161914465,136,527,533,False,False
114950121,3,0.3437500067933488,2,674,525,False,False
114952667,3,0.999980840703553,98,61,14,False,False
114953091,11,0.6991246816777953,131,85,85,False,False
114990385,10,0.8118539653711918,139,77,81,False,False
115012786,13,0.6863724865051872,137,56,59,False,False
115043101,11,0.7030843944232775,112,192,201,False,False
102049230,14,0.6158303927029969,113,275,272,False,False
102063797,29,0.3695755133834646,280,866,866,False,False
102070608,28,0.4356130936773147,259,389,387,False,False
102086414,25,0.38631092739577344,268,876,879,False,False
115114717,9,0.66407417498201,91,465,440,False,False
115115136,12,0.8756999601419702,137,6,5,True,True
