tic,P,Rp,b,seed,k,obs_R,obs_span,obs_nfreq,P_hat,period_match,epoch_match,seed_correct,t14_seeded,t0_hat,Lb,P_true,t0_true,t14_true,n_transits
161174069,0.5,1,0.0,20260640,2,1.0,3.151388139541268,16,1.575694069770634,False,False,False,0.2,1341.2476110457583,0.6000000000000001,0.5,1327.2038449165914,0.07600829420855633,51
279091054,0.5,1,0.6,20260636,3,0.9999933921056866,5.67086053264984,32,0.51553277569544,False,True,False,0.2,1368.7323976186933,0.6000000000000001,0.5,1360.4844298138546,0.09549591210639878,100
100101948,0.5,1,0.3,20260638,2,1.0,1.7416966263297127,8,1.7416966263297124,False,False,False,0.1,1366.5756870954638,0.30000000000000004,0.5,1393.0777310912367,0.06575322451570491,100
114918596,0.5,1,0.6,20260627,4,0.965604588156226,15.98297573884929,93,0.5934665478522558,False,False,False,0.05,1339.6899507816263,0.15000000000000002,0.5,1346.4955210308697,0.03924510529872483,51
268765642,0.5,1,0.0,20260628,2,1.0,3.005610169291458,16,3.005610169291458,False,False,False,0.4,1394.0978258559608,1.2000000000000002,0.5,1389.5260173783581,0.08742191596332873,36
150104808,0.5,1,0.6,20260630,7,0.8073530208306928,32.698728573777544,194,1.2110640212510198,False,False,False,0.05,1366.3649843119636,0.15000000000000002,0.5,1358.144318009793,0.09960742358014361,157
375059160,0.5,1,0.0,20260622,4,0.9698306880182517,9.445815978577684,54,0.9445815978577683,False,False,False,0.8,1335.8729631937313,2.4000000000000004,0.5,1398.9361865392825,0.035488743010839104,157
231009108,0.5,2,0.6,20260657,2,1.0,2.9819278728868994,15,2.9819278728869,False,False,False,0.05,1375.8471372021174,0.15000000000000002,0.5,1368.357038760025,0.04576997660883549,50
80342205,0.5,2,0.3,20260656,3,0.9854653006613929,17.41121180788059,101,0.5990455719195393,False,False,False,0.05,1356.506810274094,0.15000000000000002,0.5,1365.0006603555416,0.045933672869005925,50
183594608,0.5,2,0.3,20260653,8,0.9448500945602268,38.508306347222515,227,0.5008496644975563,True,True,True,0.1,1367.192845421062,0.30000000000000004,0.5,1363.1644274548037,0.06383354640361659,100
199729914,0.5,1,0.0,20260625,2,1.0,2.2569747756758716,11,2.2569747756758716,False,True,False,0.1,1364.9341948909541,0.30000000000000004,0.5,1373.9662430128108,0.03987372977100123,100
150274632,0.5,1,0.3,20260626,5,0.8905348665713303,47.76141309756463,283,3.0067401225486643,False,False,False,0.05,1396.7191744000943,0.15000000000000002,0.5,1397.284257630833,0.11282273627681207,157
150270977,0.5,2,0.0,20260649,2,1.0,2.641663818666302,13,2.641663818666302,False,False,False,0.05,1366.4899266138107,0.15000000000000002,0.5,1352.5352164590422,0.11721660390323842,157
11645778,0.5,2,0.3,20260650,2,0.8685260836581845,13.31801649738236,76,0.5749180903447866,False,False,False,0.8,1388.8089878444584,2.4000000000000004,0.5,1387.9820266509296,0.09285401731768153,36
369219815,0.5,2,0.3,20260659,2,1.0,1.4166241785089824,6,1.4166241785089824,False,False,False,0.05,1348.995321621273,0.15000000000000002,0.5,1349.108488340158,0.09239963839679284,51
370233036,0.5,2,0.6,20260660,3,0.9992648777201099,5.36378914715101,30,1.3409472867877523,False,False,False,0.05,1340.0639967383538,0.15000000000000002,0.5,1343.5666134139312,0.057341734609376485,51
115043101,0.5,2,0.0,20260661,3,0.9831177644155156,7.885908967647765,45,7.885908967647766,False,False,False,0.05,1349.1355271421237,0.15000000000000002,0.5,1335.7683876348071,0.08298117728135852,51
327939708,0.5,2,0.3,20260662,4,0.9727284608493729,16.976581241319764,98,1.1295130109263414,False,False,False,0.05,1373.5680103962677,0.15000000000000002,0.5,1362.570403994304,0.06987647091331146,50
231912935,0.5,2,0.3,20260665,8,0.8420468888173669,46.490174974810316,274,0.5161888131738436,False,False,False,0.1,1360.6931932442287,0.30000000000000004,0.5,1331.5206005862099,0.05759512023493389,108
231668630,0.5,2,0.6,20260663,2,1.0,7.5082716367842295,43,3.754135818392115,False,False,False,0.05,1336.1822766850512,0.15000000000000002,0.5,1331.1819796226102,0.08925178725271501,51
325338671,0.5,2,0.0,20260664,3,0.9504886551854811,18.48302759378089,107,0.8750057205378454,False,False,False,0.4,1343.6821327726018,1.2000000000000002,0.5,1346.13475814432,0.07582212791945639,51
207090424,0.5,2,0.0,20260667,2,1.0,8.034750950416992,46,8.034750950416992,False,False,False,0.05,1378.181143016898,0.15000000000000002,0.5,1376.6732145297758,0.08775045482894582,50
401986029,0.5,2,0.3,20260668,2,1.0,4.4929847113514825,24,4.4929847113514825,False,False,False,0.05,1366.7920745544823,0.15000000000000002,0.5,1365.29612730713,0.05918464801948667,50
355508749,0.5,2,0.0,20260673,2,0.9999981709869109,12.459623742238364,72,1.0382493047986114,False,False,False,0.05,1378.8212615686732,0.15000000000000002,0.5,1359.8201100902684,0.07373502678447433,50
219334689,0.5,2,0.6,20260672,5,0.9356510631731317,14.614070039261378,85,0.8118927799589654,False,False,False,0.8,1341.5233195975427,2.4000000000000004,0.5,1356.7564863047608,0.028527500378622703,100
410253041,0.5,4,0.3,20260680,47,0.9758120475371505,24.516245772709,142,0.5010254493578717,True,True,True,0.05,1340.4633279308493,0.15000000000000002,0.5,1338.4636319340786,0.05052665123734744,51
254302983,0.5,4,0.6,20260684,47,0.9940538781086582,24.49347134485288,142,0.5002037882189585,True,True,True,0.05,1373.9565480368844,0.15000000000000002,0.5,1362.4551342497782,0.04479880942838115,50
149993861,0.5,2,0.6,20260669,22,0.8545295616613807,72.99483824151616,433,0.5004387796311623,True,True,True,0.05,1328.5426109331881,0.15000000000000002,0.5,1338.549296902292,0.041562362901761345,157
197978738,0.5,4,0.0,20260685,18,0.8481372549462517,22.013600825583808,127,0.5033428812825962,True,False,False,0.05,1344.1471851207305,0.15000000000000002,0.5,1350.136137118862,0.09280687069876901,51
92497469,0.5,4,0.3,20260686,44,0.9365616026821504,24.512151534445593,142,0.5007891924794705,True,False,False,0.05,1342.9553911648964,0.15000000000000002,0.5,1348.5558844375505,0.04577486780857913,51
41898474,0.5,2,0.3,20260677,4,0.9985787409390553,10.809984138473055,62,3.603328046157685,False,False,False,0.05,1359.3383260503708,0.15000000000000002,0.5,1391.0245651453445,0.11349459252655174,100
24696180,0.5,2,0.6,20260678,9,0.8344860354387047,41.98316670409713,248,0.5004163323016659,True,True,True,0.2,1351.2118771253286,0.6000000000000001,0.5,1345.221746211624,0.08169357984149328,108
200746541,0.5,4,0.3,20260689,32,0.9572616980974747,17.03201638482051,97,0.5021787372665646,True,True,True,0.05,1400.5231724628754,0.15000000000000002,0.5,1391.5063078840678,0.11526919529301739,36
270481071,0.5,4,0.6,20260690,46,0.9849042187668479,24.01115387015261,139,0.5009809137559332,True,True,True,0.05,1366.2868495770101,0.15000000000000002,0.5,1374.795803339153,0.06144636107001286,50
293525326,0.5,4,0.0,20260691,48,0.9639515900007818,25.00107206381358,145,0.5003182604070997,True,True,True,0.05,1351.878801511234,0.15000000000000002,0.5,1338.3697842336019,0.056295512381096494,51
144434171,0.5,4,0.3,20260692,47,0.9920546451748439,24.49556410080504,142,0.5002442527669416,True,True,True,0.05,1365.1597974883637,0.15000000000000002,0.5,1356.1583023320868,0.056429349222453934,50
12787544,0.5,4,0.6,20260687,47,0.9965005585688087,24.489788962963758,142,0.5001297444388605,True,True,True,0.05,1359.9417233698769,0.15000000000000002,0.5,1377.9432038830685,0.04666795452164011,50
231840839,0.5,4,0.0,20260688,41,0.9872565632214464,50.99586667716653,301,0.5002004950340203,True,True,True,0.05,1368.6356447162912,0.15000000000000002,0.5,1333.6579593720744,0.0841935951789524,105
317088106,0.5,4,0.6,20260693,47,0.991279283509676,25.000885136609213,145,0.5003145187619424,True,True,True,0.05,1329.328783045261,0.15000000000000002,0.5,1335.8221858504612,0.07286417836653054,51
219334470,0.5,4,0.0,20260694,40,0.9593553664000755,23.986350501679226,139,0.500861145076168,True,True,True,0.05,1344.4802218228342,0.15000000000000002,0.5,1346.974662343231,0.06034895841606463,51
279318109,0.5,4,0.6,20260681,80,0.9392861926767209,77.99655290934902,463,0.5000123055578816,True,False,False,0.05,1339.682056935934,0.15000000000000002,0.5,1381.289382013667,0.05332362206122332,157
421937394,0.5,4,0.0,20260682,15,0.8780326553934671,22.006577975148048,127,0.5031875116876696,True,False,False,0.05,1349.6162858836756,0.15000000000000002,0.5,1334.11382151115,0.05809676528336348,51
164768954,0.5,4,0.6,20260699,28,0.9292345355655323,16.991779923961985,97,0.5010593348170503,True,True,True,0.05,1394.024368319027,0.15000000000000002,0.5,1401.0382558566785,0.05323636011466409,36
284083051,0.5,4,0.0,20260700,26,0.9405887192035723,16.512497151510615,94,0.5025442062112423,True,False,False,0.05,1389.7692722242032,0.15000000000000002,0.5,1400.779981594623,0.07866123222322674,36
267090033,0.5,4,0.3,20260695,13,0.7698644975408854,20.25124931673008,117,0.5029794973535084,True,False,False,0.05,1348.5204212590038,0.15000000000000002,0.5,1333.2726903962882,0.05307691231283494,51
155986202,0.5,4,0.6,20260696,47,0.9952081551218128,24.498465653651692,142,0.5003012295329015,True,True,True,0.05,1369.2134893963273,0.15000000000000002,0.5,1356.2148612214758,0.05956109119651506,50
150188659,0.5,8,0.0,20260712,48,0.9734811554861506,24.512614947588645,142,0.5009567748858471,True,True,True,0.05,1335.9243500760474,0.15000000000000002,0.5,1343.928965642714,0.11352640915616434,51
114918596,0.5,4,0.3,20260707,46,0.9779811376818851,24.48848405210856,142,0.5003980480295017,True,True,True,0.05,1335.3150038539773,0.15000000000000002,0.5,1328.3064180539404,0.04798022243112645,51
268765642,0.5,4,0.6,20260708,31,0.9320036995227418,17.49332535553367,100,0.5002649275461042,True,True,True,0.05,1389.8185764286914,0.15000000000000002,0.5,1388.8172791148386,0.07512020270131627,36
308209064,0.5,4,0.0,20260703,5,0.8980529468281171,12.338934251348746,72,1.121721295577159,False,False,False,0.1,1369.9394405920214,0.30000000000000004,0.5,1371.4501678897934,0.118156567886732,50
231704229,0.5,4,0.3,20260704,50,0.9418198296486978,24.98463842532692,145,0.5000036130716978,True,True,True,0.05,1335.3140348128425,0.15000000000000002,0.5,1343.8193548185313,0.043002431864561215,51
251885542,0.5,4,0.3,20260701,46,0.989116091612264,23.989179444836736,139,0.5005410662214994,True,True,True,0.05,1361.3168931875284,0.15000000000000002,0.5,1364.8069629531087,0.0752603493250008,50
375059160,0.5,4,0.6,20260702,14,0.6661029750749206,51.569474881179076,306,0.5007623572399861,True,False,False,0.05,1345.2687791859348,0.15000000000000002,0.5,1355.7583613382176,0.031618131451371406,157
469939625,0.5,4,0.0,20260697,43,0.994213019235016,24.49424413150973,142,0.5002184302769666,True,True,True,0.05,1364.9094115959326,0.15000000000000002,0.5,1376.4008252107453,0.0414224614671682,50
150359212,0.5,4,0.3,20260698,127,0.9783800470126821,78.01586054218728,463,0.5001346038767451,True,True,True,0.05,1331.8589536145298,0.15000000000000002,0.5,1330.354814396719,0.045319275756414056,157
251828912,0.5,8,0.0,20260709,47,0.9581127512172651,23.989094866218238,139,0.5005393028396224,True,True,True,0.05,1373.85613893988,0.15000000000000002,0.5,1371.856049602102,0.058483296965662415,50
150104808,0.5,8,0.3,20260710,13,0.6913595112454193,58.01268570936577,344,31.99941497959179,False,False,False,0.05,1366.3649843119636,0.15000000000000002,0.5,1373.216400973678,0.11757739572930453,157
199729914,0.5,4,0.6,20260705,77,0.9931694598044344,49.016665472850036,289,0.5002909781138638,True,False,False,0.05,1360.4438335134125,0.15000000000000002,0.5,1403.4462093885927,0.03504060007013456,100
150274632,0.5,4,0.0,20260706,6,0.8352487257107042,47.76141309756463,283,2.7739047268481154,False,False,False,0.1,1396.7441744000942,0.30000000000000004,0.5,1366.777774417664,0.11767559183963361,157
248955543,0.5,8,0.6,20260717,32,0.9419290514678633,17.004357406789495,97,0.5014094293739785,True,False,False,0.05,1387.5497828517214,0.15000000000000002,0.5,1395.0452239212004,0.030490762620330573,36
100101948,0.5,8,0.0,20260718,79,0.9712016060813956,49.01120613161902,289,0.5002364051897897,True,True,True,0.05,1378.8466483198551,0.15000000000000002,0.5,1396.3451127286644,0.07290456772470401,100
389527466,0.5,8,0.6,20260723,49,0.9665080553831553,24.996779312970375,145,0.5001619843660371,True,True,True,0.05,1336.737178262296,0.15000000000000002,0.5,1336.7359650749204,0.10534431376613572,51
100123131,0.5,8,0.3,20260713,78,0.9960329591579222,49.498752026183865,292,0.5000088887986244,True,True,True,0.05,1373.4132270325852,0.15000000000000002,0.5,1365.9178119143796,0.0378997880596714,100
160113035,0.5,8,0.6,20260714,47,0.9836666484050302,23.990199570045206,139,0.5005611852665222,True,True,True,0.05,1375.2671091282489,0.15000000000000002,0.5,1378.767462694138,0.07191844376439974,50
115693639,0.5,8,0.0,20260715,47,0.9967766096029828,24.493220960453527,142,0.5001986778178426,True,True,True,0.05,1364.069797450908,0.15000000000000002,0.5,1359.5696953931972,0.06206641555776546,50
279091054,0.5,8,0.3,20260716,71,0.9812437426518057,49.014384971204436,289,0.5002685591939968,True,True,True,0.05,1368.757398455976,0.15000000000000002,0.5,1359.2398794223243,0.11300737674955065,100
40182390,0.5,8,0.3,20260719,31,0.9558751437121483,16.98030156780669,97,0.5007371158833724,True,True,True,0.05,1389.6457695122212,0.15000000000000002,0.5,1394.6422166416758,0.06731315971907778,36
161174069,0.5,8,0.6,20260720,48,0.9776338617005845,24.99597525932859,145,0.5002217232409495,True,True,True,0.05,1331.7377950183795,0.15000000000000002,0.5,1342.2335623471279,0.0684027947995943,51
3836364,0.5,8,0.0,20260721,31,0.9867136595379482,16.992872461440584,97,0.5010870306263373,True,False,False,0.05,1387.4513389729277,0.15000000000000002,0.5,1399.4518213764604,0.04239595626014828,36
70776480,0.5,8,0.3,20260722,46,0.9871288451480001,23.98752331404694,139,0.5005076740981454,True,True,True,0.05,1362.7380757618216,0.15000000000000002,0.5,1373.752333041605,0.10794268001175839,50
