tic,kind,P,t0,T14,Lambda,delta,n_in,n_transits,sign_pass,odd_even_pass,no_secondary_pass,shape_pass,confirmed_Tred0
100123854,random,0.6991894218540992,1387.4923658854293,0.8,1.669684041146535,2.6649638397282183e-05,11040,24,True,True,True,True,True
100123854,random,0.66247816966197,1387.4423007295647,0.8,1.1999971982187014,2.2144436705748017e-05,11040,25,True,True,True,True,True
100123854,random,8.593675226053868,1394.711925124366,0.05,0.14291319903196167,5.436379575510669e-05,36,1,True,True,True,True,True
100123854,random,3.0946050898737463,1387.6549816063448,0.4,1.6673022480386457,2.6528189667067185e-05,1714,6,True,True,True,True,True
100123854,random,0.5243095072289534,1387.561946369058,0.2,7.2543486969874795,5.39008106285354e-05,4189,30,True,True,True,True,True
100123854,random,1.9573737738915593,1388.227482934351,0.8,0.0,-4.117283032728163e-06,4484,8,False,True,True,True,False
100123854,random,4.337934458932591,1389.9377371196388,0.1,0.13572970332961334,1.8915079737332596e-05,284,4,True,True,True,True,True
100123854,random,0.7357173981941242,1387.545046154969,0.1,0.0,-2.7043868566572193e-06,1506,21,False,True,True,True,False
100123854,random,1.9687421855088039,1387.75470849059,0.8,0.0,-8.97955920297575e-06,4570,8,False,True,True,True,False
100123854,random,3.7821543598088034,1387.2247521510985,0.4,0.0,-1.1035718080402591e-05,1014,4,False,True,True,True,False
100123854,random,6.657418597703904,1392.438085575296,0.4,0.0,-0.00010090737299154645,558,2,False,True,True,True,False
100123854,random,3.5157886829823095,1390.1258604259656,0.8,0.0,-1.6368391037576366e-05,2838,5,False,True,True,True,False
100123854,random,4.962129482385729,1388.781821153387,0.2,0.028100496488710127,6.122079520447033e-06,563,4,True,True,True,True,True
100123854,random,5.221828593653296,1387.9222307535235,0.8,0.0,-1.2815058323520845e-05,2271,4,False,True,True,True,False
100123854,random,0.602917366059339,1387.443144398157,0.8,0.0,-2.118562654957055e-06,11040,28,False,True,True,True,False
100123854,random,3.781551433865752,1389.7191261852165,0.1,0.03308936907814713,8.28261430029635e-06,360,5,True,True,True,True,True
100123854,random,0.5586020928664693,1387.430659010734,0.05,0.0,-2.358031383373278e-05,1004,28,False,True,True,True,False
100123854,random,0.5531551704233768,1387.6065721496132,0.2,0.0,-4.678979701507748e-05,4001,28,False,True,True,True,False
100123854,random,0.922495561920121,1387.8117625453156,0.8,0.0,-4.400988287005564e-05,9551,19,False,True,True,True,False
100123854,random,3.367349980814366,1389.1195799006205,0.2,0.0,-4.140945119777921e-05,567,4,False,True,True,True,False
100921427,random,4.440245800435954,1390.4836457646245,0.05,0.0,-0.00012714574864579304,107,3,False,True,True,True,False
100921427,random,2.199394556204062,1388.8357118359552,0.4,0.0,-0.00018261445973708585,2009,7,False,True,True,True,False
100921427,random,0.8640789509508741,1387.7857806117552,0.05,0.3517189130644255,7.682959694893612e-05,610,17,True,True,True,True,True
100921427,random,1.6854080430282787,1387.8102802513731,0.2,0.0,-0.0001922186999017462,1381,10,False,True,True,True,False
100921427,random,3.764660635077225,1390.0476148233902,0.2,0.0,-8.446386833170826e-05,570,4,False,True,True,True,False
100921427,random,6.974576727414856,1388.8420183614196,0.8,0.0,-4.274632298506938e-05,1136,2,False,True,True,True,False
100921427,random,8.737669454280411,1391.050241571501,0.4,0.0,-0.00033008680949368226,575,2,False,True,True,True,False
100921427,random,2.920818990525318,1387.6750368605165,0.1,0.0,-3.9633409235560923e-05,358,5,False,True,True,True,False
100921427,random,8.06941104460332,1394.0651179200497,0.8,0.0,-3.067742226226163e-05,1143,2,False,True,True,True,False
100921427,random,0.9495241429476496,1387.4976344850884,0.4,0.46283045351745616,5.0249031232783435e-05,4797,17,True,True,True,True,True
100921427,random,2.144739159482865,1387.6735649754462,0.2,0.0,-0.00013446742477107176,1128,8,False,True,True,True,False
100921427,random,3.6158506495120686,1388.3221506555813,0.1,0.35932546238251667,0.00011302527105279423,288,4,True,True,True,True,True
100921427,random,2.031165492684338,1388.1171798125747,0.2,0.6227355118502224,7.473699989622475e-05,1138,8,True,True,True,True,True
100921427,random,4.687526423860919,1390.1076989957091,0.4,0.043739064434786826,2.2826573732144497e-05,857,4,True,True,True,True,True
100921427,random,5.9279441632929535,1387.313963129469,0.2,0.0,-0.00015100497385372538,425,3,False,True,True,True,False
100921427,random,1.9526802306318425,1387.833388225099,0.4,0.013436197056226186,8.66474038935103e-06,2279,8,True,True,True,True,True
100921427,random,6.5690926000372905,1391.9673051778855,0.1,0.0,-5.02263402698594e-05,143,2,False,True,True,True,False
100921427,random,0.5614415039605043,1387.7158800435946,0.4,0.0,-1.9071026354801985e-05,7961,30,False,True,True,True,False
100921427,random,2.076527145081515,1387.4497523242705,0.8,0.004645084017988915,4.9842487689479505e-06,4460,8,True,True,True,True,True
100921427,random,1.8324980840634617,1387.5930665156807,0.1,0.0,-0.0001042234104694043,643,9,False,True,True,True,False
100975203,random,4.343009643941341,1387.706549170887,0.8,0.0,-1.3630713583207507e-05,1987,5,False,True,True,True,False
100975203,random,8.691659058791227,1393.9075424559346,0.8,0.400048216381737,1.2689202592543285e-05,1133,2,True,True,True,True,True
100975203,random,2.0299238807055064,1387.7687711007522,0.1,0.0028320989745351027,1.5295157210162123e-06,561,8,True,True,True,True,True
100975203,random,4.77119475848183,1387.1968231925334,0.05,0.0055168985317908936,4.36995752603622e-06,132,4,True,True,True,True,True
100975203,random,0.5800777539484062,1387.7089484370658,0.8,0.0,-3.999662597770771e-06,11750,31,False,True,True,True,False
100975203,random,2.290197974087323,1388.374571106079,0.8,0.0,-1.6955609674388055e-05,4406,8,False,True,True,True,False
100975203,random,0.5402721302993735,1387.353237709543,0.05,0.0,-9.599047577123452e-06,1060,31,False,True,True,True,False
100975203,random,3.9581165466042316,1389.4943392197429,0.1,0.09948697143134361,1.269964103893907e-05,286,4,True,True,True,True,True
100975203,random,2.095831829435087,1388.0821724618022,0.4,0.9792336777477773,1.5296685092726734e-05,2188,9,True,True,True,True,True
100975203,random,2.7163714365921203,1389.5102434256298,0.05,2.054562702570657,6.726750704045988e-05,209,6,True,True,True,True,True
100975203,random,1.000408224784239,1387.9875892187056,0.4,0.0,-1.1495719482388248e-05,4687,17,False,False,True,False,False
100975203,random,0.5389090682600287,1387.3513333316803,0.1,0.0,-7.942066165888257e-08,2158,31,False,True,True,True,False
100975203,random,6.31425559409559,1391.4542230677662,0.4,3.3119495246670914,4.200635060341672e-05,860,3,True,True,True,True,True
100975203,random,3.0064644376664895,1389.5948659265505,0.2,0.0,-8.42471853709733e-06,692,5,False,True,True,True,False
100975203,random,5.131933226301608,1390.4544930821653,0.8,0.0,-3.000720282731699e-05,1305,3,False,True,True,True,False
100975203,random,2.5864493352958724,1387.9391166692237,0.1,0.0,-2.689453174164549e-05,432,6,False,True,True,True,False
100975203,random,1.086838427162191,1388.04240164902,0.2,0.0,-6.119704176727024e-06,2129,15,False,True,True,True,False
100975203,random,0.8902473735100822,1387.8907345108587,0.8,0.0,-2.8058133318217703e-06,10572,20,False,True,True,True,False
100975203,random,1.089670487422595,1387.3575260661917,0.2,6.194517624871973,3.730502070120773e-05,2261,16,True,True,True,True,True
100975203,random,0.7858160300354495,1387.8037920415845,0.1,0.0,-1.359053998202978e-05,1420,20,False,True,True,True,False
100990409,random,4.330512913998762,1389.0924251120061,0.8,0.0,-7.553994110354153e-05,2285,4,False,True,True,True,False
100990409,random,3.584168697881393,1388.391734303673,0.8,0.0,-6.613901318428041e-06,2271,4,False,True,True,True,False
100990409,random,0.607239726484415,1387.4542361529764,0.1,7.175972701891969,0.00010003912835963985,1793,26,True,True,True,True,True
100990409,random,4.981390910082897,1388.6941712074088,0.2,0.6956556166848998,5.601435711668283e-05,565,4,True,True,True,True,True
100990409,random,6.4647384570343664,1387.259968269586,0.05,0.9147029819308282,0.00014603354421806707,108,3,True,True,True,True,True
100990409,random,7.5909701918449235,1391.642604400149,0.4,0.0,-1.452167353038783e-05,572,2,False,True,True,True,False
100990409,random,0.6942289940945331,1387.504840235507,0.1,0.0,-1.1234025813875778e-05,1627,23,False,True,True,True,False
100990409,random,3.8885700078116407,1389.19921325679,0.1,0.0,-0.0001307362151683112,352,5,False,True,True,True,False
100990409,random,4.50385108495314,1389.3601971633348,0.2,0.2735446838186386,3.460009638073041e-05,573,4,True,True,True,True,True
100990409,random,1.793379801567284,1387.992373806122,0.05,0.0,-9.746225051852473e-05,323,9,False,True,True,True,False
100990409,random,6.272337721261503,1391.1856342158183,0.8,1.7523858126760132,5.0808043772573984e-05,1720,3,True,True,True,True,True
100990409,random,1.9787496501911557,1387.2428072692287,0.1,0.019225186461636,9.186721424088113e-06,576,8,True,True,True,True,True
100990409,random,2.436253793310915,1387.8383781211328,0.2,0.0,-0.00010093056313799472,962,7,False,True,True,True,False
100990409,random,4.82080157272985,1390.7009996190257,0.8,0.0,-1.6590309188318322e-05,1283,3,False,True,True,True,False
100990409,random,0.5307744573239533,1387.42897140446,0.2,0.10389198571355784,1.1940064144544035e-05,4207,30,True,True,True,True,True
100990409,random,7.743583706243642,1388.8020177223832,0.4,0.0,-0.00014587836908917004,649,3,False,False,True,False,False
100990409,random,0.6308959645526198,1387.3480912630262,0.8,1.729339319396837,4.870361729160126e-05,11256,27,True,True,True,True,True
100990409,random,0.9244391139371347,1387.952387240364,0.05,0.6982898337877292,5.3650284259904253e-05,607,17,True,True,True,True,True
100990409,random,2.008264992777917,1388.8599806614989,0.1,0.0,-2.265965828443776e-05,569,8,False,True,True,True,False
100990409,random,2.439803690663941,1388.183766660309,0.05,0.0,-0.00018278831932679645,216,6,False,True,True,True,False
100107681,random,2.2066840304436477,1357.4697106213885,0.8,0.07403905326400013,2.2404283393937494e-06,10069,19,True,True,True,True,True
100107681,random,1.9411915053638125,1357.0666263835774,0.05,0.0,-1.9531918647248068e-05,710,20,False,True,True,True,False
100107681,random,16.73149061212232,1367.3084769921236,0.1,0.0,-2.1951426613047254e-05,72,1,False,True,True,True,False
100107681,random,4.856333804674536,1358.3149448454508,0.2,0.860823312750655,1.5021679406815227e-05,1130,8,True,True,True,True,True
100107681,random,3.462862393441415,1355.665852685671,0.05,0.520648331336198,1.8632240199178883e-05,448,13,True,True,True,True,True
100107681,random,10.412665204903925,1357.8423941187382,0.8,0.3055245018875795,6.329436083242509e-06,2281,5,True,True,True,True,True
100107681,random,2.795869158271207,1355.7041589551961,0.4,0.0,-9.13687621524307e-06,3973,14,False,True,True,True,False
100107681,random,0.7258429005662981,1355.9804086759912,0.2,0.07226520849092646,2.190195393189899e-06,7568,55,True,True,True,True,True
100107681,random,5.010865939195099,1357.253753450274,0.4,0.0,-9.932035771737075e-06,2275,9,False,True,True,True,False
100107681,random,4.474738781549761,1357.5366853069934,0.1,0.047080534202950164,4.436961616789933e-06,710,10,True,True,True,True,True
100107681,random,2.092621569352763,1357.313533095415,0.8,8.02011932158574,2.3425800317693556e-05,10025,19,True,True,True,True,True
100107681,random,12.939008367981232,1361.1898325456616,0.8,1.0247059830896805,1.2718496851510671e-05,1897,4,True,True,True,True,True
100107681,random,3.2997848005118007,1356.9381081938643,0.4,0.0,-1.5253992268812723e-06,3457,13,False,True,True,True,False
100107681,random,0.5117633510976195,1355.414847229338,0.05,2.982626598842393,1.8047499409060708e-05,2683,76,True,True,True,True,True
100107681,random,0.8567236771360448,1355.7413436963052,0.1,0.0,-4.681030292047925e-06,3286,47,False,True,True,True,False
100107681,random,11.533694689777985,1358.677808420877,0.05,0.0,-4.818221777879371e-05,142,4,False,True,True,True,False
100107681,random,0.5888708359362407,1355.6744306152166,0.8,0.05808480584944258,1.9596021077208415e-06,27619,70,True,True,True,True,True
100107681,random,4.691084409396778,1358.5384145401647,0.8,0.0,-1.3171065070504215e-05,3411,6,False,True,True,True,False
100107681,random,0.6980123858801394,1355.5054329087582,0.8,0.0,-3.329278182309177e-06,27619,60,False,True,True,True,False
100107681,random,11.418147113802506,1356.60621620397,0.8,0.3554664694195385,6.7834053300538465e-06,2274,4,True,True,True,True,True
100123131,random,4.330100665943784,1359.3881337423281,0.1,0.0071318845501404165,5.5710067724788377e-05,555,8,True,True,True,True,True
100123131,random,11.470271347846527,1357.515642740053,0.2,0.0,-0.00016031702482122447,573,4,False,True,True,True,False
100123131,random,0.6690288881991281,1355.4715631045003,0.8,0.0,-1.1031325243423544e-05,27491,61,False,True,True,True,False
100123131,random,0.6864572075735027,1355.9004572016895,0.4,3.966616159515795,0.00046679268210779174,15965,58,True,True,True,True,True
100123131,random,10.572845022130656,1365.4220645733963,0.4,0.06165166517451419,0.00013315491509439,839,3,True,True,True,True,True
100123131,random,3.2264264822451225,1358.0325056734537,0.1,2.507274063190468,0.0008813859217022519,778,11,True,True,True,True,True
100123131,random,0.9246601426076111,1355.6806098349523,0.4,0.0,-1.284424451986291e-05,11835,43,False,True,True,True,False
100123131,random,22.792729701653336,1363.3524611352127,0.4,0.0,-0.0006013105572471374,288,1,False,True,True,True,False
100123131,random,0.653717968159232,1355.460620557667,0.05,0.01937179130481999,4.7097418983938066e-05,2089,59,True,True,True,True,True
100123131,random,0.5302680710781867,1355.6408176592993,0.2,0.0,-0.00013595035885901436,10288,74,False,False,True,False,False
100123131,random,17.928708951875013,1359.8207813261831,0.4,0.1371087561092252,0.0002415084051249185,567,2,True,True,True,True,True
100123131,random,18.51177568351679,1359.2975443300381,0.1,4.113191491850421,0.00264729001128036,142,2,True,True,True,True,True
100123131,random,7.181449633034166,1357.7156322479814,0.4,0.0,-3.0692631386663435e-05,1704,6,False,True,True,True,False
100123131,random,10.956259637023802,1359.9917321520602,0.05,2.939713104641212,0.002220199820365205,144,4,True,True,True,True,True
100123131,random,0.8814310236735665,1356.0920601449752,0.2,0.0,-0.00010387849307975309,6148,44,False,True,True,True,False
