tic,k,obs_R,obs_span,obs_nfreq,n_cadences,baseline,Lb
101017638,12,0.6768773030413139,16.07526870857646,92,11216,17.778064471570815,0.6000000000000001
101058021,8,0.6768521818429789,15.298879624193432,87,11222,17.778078185994218,0.6000000000000001
101070347,14,0.49147217502301066,15.041916659103208,86,11752,17.778079592058475,0.6000000000000001
101099031,4,0.9195059550318219,5.9751181971014375,33,11752,17.778101090708788,0.6000000000000001
101100320,7,0.8846101375696442,14.811372251383318,84,11752,17.7780854214393,0.6000000000000001
101101390,14,0.51711158540584,15.301671052817028,87,11365,17.778114959498907,0.6000000000000001
101126095,10,0.6598549315757009,15.216956057866128,87,11750,17.776727157559435,0.6000000000000001
101139085,9,0.7865168076990889,11.546031475213113,66,11752,17.77810026322868,0.6000000000000001
100975203,9,0.6909096156124621,16.541888556221465,94,11750,17.778021537367295,0.6000000000000001
100990409,5,0.7709909296251236,11.107107640090362,63,11256,17.77805352736641,0.6000000000000001
101014057,12,0.5669634270133618,15.826642572400033,90,11209,17.778051104763563,0.6000000000000001
101017159,12,0.5127945671787718,14.584927822091458,83,11152,17.77801237711128,0.6000000000000001
101944261,11,0.6283358178997818,21.819654346958487,126,16542,24.90437491846842,0.6000000000000001
101948395,12,0.5290375674145482,18.344572878682357,106,16543,24.90437737878983,0.6000000000000001
101948780,15,0.47428076648896034,23.91404201780483,138,16543,24.90432503170905,0.6000000000000001
101949364,19,0.4669908820500219,23.552876997259773,136,16544,24.90428452918877,0.6000000000000001
101930558,16,0.44173840260103725,18.88342207975029,109,16542,24.904318413265173,0.6000000000000001
101932572,15,0.5256082442439971,22.007039987038297,127,16545,24.90430801923958,0.6000000000000001
101932654,19,0.42998870355827057,22.2154242789577,128,16545,24.904319499652956,0.6000000000000001
101933280,10,0.6880078489006378,21.66265894809817,125,16544,24.90434705003736,0.6000000000000001
10802452,2,1.0,3.4083588707237595,18,11136,17.775046821147498,0.6000000000000001
10819194,7,0.6917943116576595,12.859788357912748,73,11212,17.77507670775458,0.6000000000000001
10838083,9,0.615854219146979,16.811209957776327,96,11152,17.776487552942854,0.6000000000000001
100107681,34,0.43799633232752244,47.75706100362845,281,27619,49.60429849883212,0.6000000000000001
100123131,33,0.32861094149241254,46.13340483040838,272,27491,49.604306371534676,0.6000000000000001
100123854,8,0.6283351900569243,14.448445532271307,82,11040,17.77479447021551,0.6000000000000001
100921427,13,0.6571441742328262,15.790499559938553,90,11181,17.778016339190344,0.6000000000000001
100029948,28,0.9967491873524947,48.605686309292196,286,27523,49.60428192617974,0.6000000000000001
100067280,27,0.47055397624307005,46.26259862664074,272,27619,49.604315725505785,0.6000000000000001
100100827,48,0.7256244393179795,48.49729525158273,286,27619,49.60423701361424,0.6000000000000001
100100829,35,0.5497291993457553,38.60860876022184,227,27529,49.60423528880483,0.6000000000000001
111244232,11,0.45777082242436307,15.086094860844241,86,11031,17.77634016369484,0.6000000000000001
111245072,13,0.6101443441167952,16.791594045091415,96,8933,17.776306554125767,0.6000000000000001
111267568,3,0.9918190008946336,7.968026697099958,45,11072,17.774912859475535,0.6000000000000001
111269697,6,0.7873601322880631,16.737449742389572,95,10867,17.77493620749965,0.6000000000000001
101949836,11,0.712449602888999,24.39324425461632,141,16543,24.904353335067754,0.6000000000000001
101963736,12,0.5955594814600425,21.70150756661883,125,16545,24.904315792057787,0.6000000000000001
101992165,17,0.560326256177954,23.327879588860014,135,16544,24.904278116334353,0.6000000000000001
102029678,18,0.38185391770943,23.28627229312906,135,16542,24.904326220076655,0.6000000000000001
100101948,34,0.42421207823608365,47.661225928093245,281,27533,49.60427103086977,0.6000000000000001
100102303,32,0.33157192771227306,47.841879807372834,282,27492,49.604358489975766,0.6000000000000001
100103683,26,0.3678020154460627,47.11529696259868,277,27528,49.60415549005984,0.6000000000000001
100106368,28,0.4572651982692244,48.30987660314781,285,27555,49.60429635050377,0.6000000000000001
114750450,18,0.4613660800400683,21.572452271402653,125,16545,24.904458671841894,0.6000000000000001
114750474,11,0.8625154679670021,21.265526474204307,123,16545,24.904454887412612,0.6000000000000001
114818487,4,0.9289298891713825,10.502992155762968,61,16543,24.90450372736541,0.6000000000000001
114818789,10,0.6396427818566596,16.8418696286667,97,16546,24.90453860586149,0.6000000000000001
114949823,11,0.5957877161914465,23.434350652697503,136,16413,25.284325343349565,0.6000000000000001
114950121,3,0.3437500067933488,0.7097010770100951,2,16419,25.281553930876726,0.6000000000000001
114952667,3,0.999980840703553,16.86507233324187,98,16421,25.28290799612796,0.6000000000000001
114953091,11,0.6991246816777953,22.71908905298983,131,16422,25.282900444964525,0.6000000000000001
114858562,11,0.5477234251666663,22.183634533461372,128,16544,24.90453915953276,0.6000000000000001
114859570,17,0.4622799432544735,24.26840169188017,140,16545,24.904522470697884,0.6000000000000001
